Date,Depenses FCFA,Impressions,Clics lien,CTR %,CPC FCFA,Leads,Cout par Lead FCFA,Contacts WhatsApp,Commandes confirmees,Commentaire / decision
Jour 1,,,,,,,,,,
Jour 2,,,,,,,,,,
Jour 3,,,,,,,,,,
Jour 4,,,,,,,,,,
Jour 5,,,,,,,,,,
Jour 6,,,,,,,,,,
Jour 7,,,,,,,,,,
Total,,,,,,,,,,
